State,RA_Adj_Avg_Pre,Avg_pre,PLRS,ARF,AV,IDF,MM,Market,Year
CA,500.88,582.42,1.008,1.424,0.781,1.077,24904520.8,2,2023
CO,495.19,575.81,1.049,1.402,0.745,1.057,2560140.8,2,2023
CT,657.19,764.18,1.267,1.53,0.745,1.058,1036484.9,2,2023
DC,519.36,603.9,1.105,1.036,0.813,1.094,1052810,2,2023
DE,604.39,702.78,1.24,1.495,0.777,1.071,270669.4,2,2023
FL,546.18,635.1,1.268,1.498,0.773,1.072,4125328.8,2,2023
GA,691.31,803.85,1.359,1.473,0.755,1.061,777767.5,2,2023
HI,453.74,527.6,1.182,1.515,0.887,1.141,550404.5,2,2023
IA,439.47,511.01,1.084,1.447,0.72,1.045,1109216.8,2,2023
ID,389.48,452.88,0.953,1.381,0.74,1.053,999824.8,2,2023
IL,524.81,610.25,1.211,1.467,0.797,1.084,5068122.7,2,2023
IN,629.66,732.16,1.344,1.514,0.752,1.059,736308.3,2,2023
KS,469.76,546.23,1.241,1.438,0.77,1.071,790183.5,2,2023
KY,643.04,747.73,1.638,1.483,0.773,1.068,232753.2,2,2023
LA,498.31,579.43,1.234,1.464,0.776,1.072,1456903.9,2,2023
MD,485.49,564.52,1.098,1.477,0.754,1.061,2873622,2,2023
MI,402.19,467.66,1.141,1.445,0.794,1.081,5091534.1,2,2023
MN,497.76,578.79,1.118,1.483,0.752,1.061,2561374.8,2,2023
MO,578.18,672.31,1.393,1.477,0.759,1.064,754626.5,2,2023
MS,396.88,461.49,1.148,1.382,0.779,1.072,515481.7,2,2023
MT,457.12,531.54,0.966,1.417,0.732,1.052,550495,2,2023
NC,491.79,571.85,1.174,1.489,0.755,1.061,2392722.7,2,2023
ND,468.18,544.4,1.127,1.357,0.819,1.098,536484.9,2,2023
NE,586.5,681.98,1.259,1.443,0.729,1.048,340423.5,2,2023
NH,518.68,603.12,1.102,1.513,0.738,1.05,741934.9,2,2023
NJ,639.87,744.03,1.294,1.497,0.757,1.062,2863605.7,2,2023
NM,557.66,648.45,1.133,1.501,0.782,1.075,500005.3,2,2023
NV,454.92,528.98,1.05,1.413,0.758,1.061,951514.6,2,2023
NY,775.37,901.6,1.535,0.976,0.766,1.07,8331479.7,2,2023
OH,794.39,923.71,1.76,1.559,0.752,1.06,401198.5,2,2023
OK,417.55,485.52,1.249,1.47,0.783,1.078,1988744.2,2,2023
OR,446.69,519.41,1.017,1.425,0.775,1.072,2163635,2,2023
PA,507.61,590.25,1.259,1.503,0.778,1.073,4603001.1,2,2023
RI,515.61,599.54,1.314,1.536,0.812,1.093,554718.5,2,2023
SC,606.97,705.78,1.202,1.469,0.744,1.054,576382,2,2023
SD,480.05,558.2,1.061,1.414,0.694,1.034,398310.1,2,2023
TN,448.1,521.05,1.245,1.487,0.739,1.056,1858665,2,2023
TX,556.11,646.64,1.275,1.451,0.755,1.062,7205793.1,2,2023
UT,355.79,413.71,1.004,1.428,0.74,1.053,1622652.2,2,2023
VA,514.46,598.21,1.193,1.457,0.786,1.078,3534061,2,2023
VT,640.1,744.31,1.3,0.978,0.757,1.065,419983.4,2,2023
WA,474.3,551.51,1.09,1.476,0.769,1.068,2780002.6,2,2023
WI,537.34,624.81,1.163,1.45,0.774,1.072,1227544.6,2,2023
WV,693.46,806.34,1.368,1.505,0.761,1.064,180997.1,2,2023
WY,647.58,753,1.184,1.397,0.758,1.062,96750.3,2,2023
AL,243.21,282.8,0.938,1.112,0.57,1,11759.3,3,2023
AZ,188.2,218.84,0.437,1.015,0.57,1,2290,3,2023
CA,182.83,212.6,0.253,0.976,0.57,1,291084.9,3,2023
CO,177.61,206.53,0.332,0.998,0.57,1,34406.1,3,2023
CT,193.8,225.35,0.314,1.02,0.57,1,19169.2,3,2023
DC,138.41,160.94,0.205,0.736,0.57,1,4305.8,3,2023
DE,223.34,259.7,0.502,1.041,0.57,1,1767.2,3,2023
FL,206.39,239.99,0.498,1.172,0.57,1,17693.4,3,2023
GA,222.63,258.87,0.688,1.12,0.57,1,32370.3,3,2023
HI,117.22,136.3,0.281,0.981,0.57,1,5001.3,3,2023
IA,206.52,240.14,0.285,1.005,0.57,1,1909.3,3,2023
ID,180.21,209.54,0.458,0.964,0.57,1,2931.1,3,2023
IL,289.98,337.19,0.749,1.014,0.57,1,12969.2,3,2023
KS,244.56,284.37,0.877,1.089,0.57,1,1632,3,2023
KY,179.55,208.78,0.396,0.982,0.57,1,8419.9,3,2023
MA,289.44,336.55,0.35,1.187,0.57,1,10504.5,3,2023
MD,98.88,114.97,0.352,0.979,0.57,1,47856.3,3,2023
ME,180.4,209.77,0.397,1.025,0.57,1,7414.2,3,2023
MI,186.94,217.38,0.489,1.005,0.57,1,42501,3,2023
MN,137.17,159.5,0.514,1.018,0.57,1,43180.3,3,2023
MO,199.72,232.23,0.325,0.999,0.57,1,7702.6,3,2023
MT,207.74,241.56,0.287,1.006,0.57,1,3071.9,3,2023
NC,212.43,247.02,0.628,1.041,0.57,1,71198,3,2023
ND,130.68,151.96,0.359,0.992,0.57,1,15886.1,3,2023
NE,244.49,284.29,1.111,0.978,0.57,1,4211.1,3,2023
NH,137.6,160,0.411,1.021,0.57,1,9070.6,3,2023
NJ,239.17,278.1,0.469,1.016,0.57,1,19748,3,2023
NV,197.13,229.22,0.187,0.986,0.57,1,3869,3,2023
NY,203.1,236.16,0.235,0.997,0.57,1,46262.4,3,2023
OH,175.18,203.7,0.496,1.021,0.57,1,27078.6,3,2023
OK,223.66,260.07,0.449,0.992,0.57,1,2897.3,3,2023
OR,179.86,209.14,0.263,0.95,0.57,1,5926.4,3,2023
PA,186.24,216.56,0.321,1.031,0.57,1,17786.5,3,2023
SC,185.18,215.33,0.48,1.068,0.57,1,28216.1,3,2023
SD,227.28,264.28,0.34,1.016,0.57,1,8853.4,3,2023
TN,261.82,304.44,0.426,1.188,0.57,1,2259.3,3,2023
TX,251.12,292,0.824,1.048,0.57,1,26281.1,3,2023
VA,146.42,170.26,0.435,1.015,0.57,1,25929,3,2023
VT,225.76,262.51,0.374,0.999,0.57,1,3242.3,3,2023
WA,182.71,212.46,0.246,1.004,0.57,1,5591.5,3,2023
WI,184.38,214.39,0.453,1.024,0.57,1,15709.1,3,2023
WV,340.95,396.46,1.579,1.028,0.57,1,777.2,3,2023
MA,524.18,609.52,1.206,1.537,0.723,1.044,7709185.6,4,2023
ME,508.64,591.44,1.16,1.647,0.684,1.029,1383960.3,4,2023
AK,830.729550261299,965.964593327092,1.27432737115081,1.59956545119686,0.704795977452236,1.04059837981316,308388.299999999,1,2024
AL,596.358785963155,693.440448794366,1.71088658202668,1.59651354901281,0.680051459341381,1.02474471840981,5002357.06666665,1,2024
AR,475.932340810195,553.409698616507,1.79827180306866,1.53634886321755,0.691941701130595,1.02794924886316,4083230.69999999,1,2024
AZ,440.842115574291,512.607111132896,1.46366540765996,1.64091582092986,0.66797318970386,1.02142121286024,4308951.53333332,1,2024
CA,563.398464903798,655.114494074184,1.15406386847895,1.66302199318034,0.69558926414922,1.03375571557823,26285595.0999999,1,2024
CO,465.016115955762,540.716413902049,1.27484293345284,1.6414479558879,0.687386820650624,1.03136215761367,3514403.63333332,1,2024
CT,766.006770709924,890.705547337121,1.46079701646424,1.7852850080948,0.690868802958145,1.03078820117673,1682622.03333333,1,2024
DC,630.468852124403,733.103316423725,1.42858470793341,1.17009009026809,0.735166951953661,1.05694495428607,155204.333333333,1,2024
DE,614.072317733442,714.037578759817,1.52595436333496,1.68523775556011,0.723074259393882,1.04711771609324,568713.233333333,1,2024
FL,523.978156617855,609.276926299832,1.31302070624921,1.56330181276816,0.675528206931814,1.02395053633895,51861413.9333333,1,2024
GA,487.839696805565,567.255461401819,1.51078858508599,1.55601769378416,0.681753412158421,1.02597078033262,15658898.2999999,1,2024
HI,584.377943417245,679.50923653168,1.25279447468868,1.73402001119948,0.752156658784654,1.06556959338049,387041.599999999,1,2024
IA,494.123766467658,574.562519148439,1.35688972275513,1.75054547724454,0.695266396960532,1.03477567609405,1378776.36666666,1,2024
ID,403.021125361884,468.629215537074,1.13231674302756,1.54660326433584,0.660270843307501,1.02065484788939,1291113.06666666,1,2024
IL,579.183405703152,673.469076399014,1.37146785075803,1.6904324105984,0.672011575856796,1.02346456363717,5164887.66666666,1,2024
IN,448.249292672061,521.22010775821,1.32951520065761,1.64191957625883,0.666750703336837,1.02064988250803,3653299.33333333,1,2024
KS,533.776471417422,620.670315601654,1.62992223706279,1.62420379457209,0.6760151921876,1.02500468971787,2102756.2,1,2024
KY,541.31016357502,629.430422761651,1.81178226111277,1.76245238512688,0.670518020836584,1.02282445417051,943177.633333332,1,2024
LA,597.630214293632,694.918853829804,1.27558894606066,1.62499702406424,0.660140499226375,1.01920997507257,2926160.83333333,1,2024
MD,406.597427759827,472.787706697473,1.42527079507589,1.67194782776894,0.730067208428129,1.05008183806314,3202381.09999999,1,2024
MI,441.227899160767,513.055696698567,1.34445361056789,1.68094760759987,0.659426185115599,1.01893808241055,5817749.63333331,1,2024
MN,426.996437230145,496.507485151332,1.25085992192813,1.77028440588803,0.674742777525027,1.02675621062051,2174291.59999999,1,2024
MO,548.889964055845,638.244144250982,1.51267181937087,1.6608769720414,0.663061415806102,1.0197087990845,4362188.66666666,1,2024
MS,516.654760674248,600.761349621219,1.58710910749527,1.56637461089839,0.68007959145383,1.02465585456664,3579345.76666666,1,2024
MT,516.91538068986,601.064396151,1.11678072852454,1.63296585362341,0.650203423850699,1.01706955132834,884253.899999998,1,2024
NC,522.424704977039,607.470587182604,1.38195967880836,1.61369178120899,0.66502588403464,1.0212160848739,11669252.4,1,2024
ND,459.528695378519,534.335692300604,1.32288489787166,1.55269179210333,0.700577473704796,1.03774245783556,609176.366666666,1,2024
NE,575.319486250698,668.976146803137,1.39959558478012,1.56748658711523,0.653962710451277,1.01833704826539,1425613.03333333,1,2024
NH,387.2010845514,450.233819245814,1.37126012353331,1.7317113087742,0.692634779904788,1.03251621470962,904970.466666665,1,2024
NJ,560.488356933943,651.730647597608,1.30480318923024,1.67499742011162,0.685763719697523,1.02616552815242,5594079.23333332,1,2024
NM,505.923026928004,588.282589451167,1.47975870466861,1.79109734655165,0.762503721069273,1.06236700684593,798941.499999998,1,2024
NV,460.734403016983,535.737677926725,1.34524324355776,1.67311025003139,0.665879104654991,1.02084476781449,1347425.46666666,1,2024
NY,652.934912425688,759.226642355451,1.48160241778918,0.984141625983131,0.678532827712303,1.03045621201217,3028689.06666666,1,2024
OH,494.860355981612,575.419018583269,1.48721326172836,1.68697381518545,0.656688338454499,1.01794201996302,6133683.56666666,1,2024
OK,536.244728940683,623.540382489166,1.51840210164499,1.57790102263658,0.667715703458764,1.02312281499006,3357002.26666666,1,2024
OR,549.202194155599,638.607202506511,1.23833469153419,1.72112343725079,0.676140120725819,1.02680608959453,1997617.4,1,2024
PA,532.634980723738,619.343000841556,1.47396970421028,1.75845484220735,0.720461149240318,1.04475188473185,6126065.96666666,1,2024
RI,467.980359518601,544.163208742559,1.30203582157666,1.69588216159632,0.721444703219773,1.04563067906732,611584.433333333,1,2024
SC,507.495080914338,590.110559202719,1.37670257399021,1.60176588049585,0.6522019624724,1.01670096428033,6945089.6,1,2024
SD,596.248800075584,693.312558227423,1.27221790247232,1.55602837710537,0.6619266576524,1.02106102452785,633637.566666665,1,2024
TN,529.472437722151,615.665625258315,1.58922521802322,1.6140582236982,0.661864369524592,1.01906377081752,6732485.43333332,1,2024
TX,478.597229207743,556.508406055515,1.36242108185554,1.53916427890803,0.719150469157253,1.04291355299748,41723345.2666666,1,2024
UT,409.20890754135,475.824311094593,1.062668150486,1.48559361973478,0.662429421890744,1.01941686043599,4589778.89999999,1,2024
VA,408.149604844362,474.592563772514,1.25789827144056,1.65192326167677,0.69058500882326,1.0334334319636,4606271.26666666,1,2024
VT,779.972131644785,906.944339121843,1.32351900565705,0.987306581319641,0.699620937606877,1.03701543931058,394728.333333333,1,2024
WA,508.096874772375,590.810319502761,1.25734250131822,1.71188821474309,0.686407197872783,1.03004921277325,3490557.19999999,1,2024
WI,565.13107626766,657.129158450767,1.39963085330116,1.84744029347886,0.665158212576217,1.02237111816721,3443491.53333333,1,2024
WV,947.445231325033,1101.68050154073,1.68862874044266,1.74061049701092,0.676238485811584,1.02641967537052,657348.399999998,1,2024
WY,799.37092683176,929.501077711349,1.42072175949888,1.61959762461065,0.738482317956868,1.05322407229195,507958.833333333,1,2024
AK,864.24464020527,1004.93562814566,1.07004889484834,1.47892937596232,0.746036660526536,1.05645421630388,139808.866666667,2,2024
AL,461.328217105187,536.428159424636,1.2972137393899,1.51570403913587,0.777561554762943,1.07319490160909,2240754.03333333,2,2024
AR,412.258323287843,479.370143357957,1.23236272310036,1.4538229461792,0.787429840187953,1.07663019386945,755293.499999998,2,2024
AZ,488.271733772375,567.757829967878,1.14513118159501,1.44496571417962,0.743694129300238,1.05681911072278,1439916.93333333,2,2024
CA,538.376231182499,626.018873468023,1.03661787667963,1.42777226474217,0.781153898350348,1.07764057962898,24527876.3,2,2024
CO,533.02299831524,619.794184087489,1.08721659077592,1.4037975651027,0.746306752950511,1.05812205803228,2337834.4,2,2024
CT,695.846643300471,809.124003837757,1.3342111158444,1.52450429903876,0.757613315850632,1.06356579281837,941400.366666665,2,2024
DC,576.97061317488,670.896061831256,1.1192634287744,1.03719315664695,0.812078049296658,1.09412072200795,1045851.83333333,2,2024
DE,629.472335037242,731.9445756247,1.30622988480173,1.48710236864484,0.780047056814853,1.07304293480909,275666.766666666,2,2024
FL,583.878473360812,678.928457396293,1.29359986251303,1.49677758457597,0.774462742842893,1.07283261586712,3940688.93333336,2,2024
GA,750.288472749425,872.428456685377,1.41838518864735,1.46787400024869,0.758189035449461,1.06320211734042,549003.199999999,2,2024
HI,480.604264880817,558.842168466066,1.24271577871429,1.52414038602553,0.893966687674286,1.145776681372,545357.699999998,2,2024
IA,453.408130347071,527.218756217525,1.10904150048987,1.43697159143401,0.723780343876326,1.04631617717517,1086384.76666666,2,2024
ID,410.609551892631,477.452967317013,0.969191330655935,1.37533680358447,0.738522999498797,1.05253113759346,1016019.96666666,2,2024
IL,558.061963166129,648.909259495499,1.24806339964388,1.46745372223237,0.798861723365884,1.0852069190848,4960879.59999999,2,2024
IN,668.863995638737,777.748832138066,1.36607109513419,1.50743711958497,0.758342023842683,1.06174424648608,666563.666666666,2,2024
KS,506.064199471558,588.446743571579,1.25866742597486,1.44279617220443,0.771403711947314,1.07180876265137,696716.066666667,2,2024
KY,686.645298412869,798.424765596359,1.6283214301066,1.47299562013002,0.775022490394375,1.06971804260801,217129.733333333,2,2024
LA,534.306459634224,621.286580970028,1.25113148877727,1.46792178081826,0.778611663932847,1.07328577391702,1404343.93333333,2,2024
MD,521.735438635249,606.66911469215,1.12540642836386,1.47720168550413,0.756953755037967,1.06229934362373,2716912.16666666,2,2024
MI,421.589353982731,490.220179049687,1.15310491975158,1.43998715010455,0.792855867498905,1.08042257099657,5068043.83333334,2,2024
MN,524.017073411992,609.322178386037,1.1676694505178,1.47862586099232,0.7555521321034,1.06210471744051,2433108.23333333,2,2024
MO,605.791236829461,704.408414917978,1.4434225727323,1.47765381100731,0.763843699596574,1.06699825230093,657321.399999999,2,2024
MS,382.886156042507,445.216460514543,1.11685420044206,1.37669042425373,0.785879839571732,1.07570785597783,543212.666666666,2,2024
MT,486.03739009223,565.159755921198,0.996878031566118,1.41131529805351,0.73709087789813,1.05424479904014,549078.133333332,2,2024
NC,517.285324128232,601.494562939805,1.20225649548142,1.49013883263169,0.758938191329075,1.06303588802276,2386954.2,2,2024
ND,490.670246236935,570.546797949924,1.19233299166993,1.35871596227532,0.81914772351804,1.09841195744004,561924.066666666,2,2024
NE,623.752580476246,725.293698228193,1.31803466207284,1.43866705043529,0.731318524281381,1.04956564919297,280724.7,2,2024
NH,546.335612038003,635.27396748605,1.14628087430229,1.50588090900687,0.737770576824991,1.04980836888738,716139.799999998,2,2024
NJ,684.224287755321,795.609636924792,1.34505840034622,1.49533152352541,0.758552058415405,1.06308633644274,2550135.56666666,2,2024
NM,584.471585399798,679.618122557905,1.16739976359134,1.49130002452008,0.785798550718349,1.07787243877287,468595.366666666,2,2024
NV,473.955041848383,551.11051377719,1.0809704437895,1.41446771907996,0.756768651910025,1.06077367951038,907735.899999999,2,2024
NY,829.620713178769,964.67524788229,1.53941087602103,0.976787628300512,0.763131279637858,1.06836079211373,7813978.99999997,2,2024
OH,899.481160039004,1045.90832562674,1.84432367898821,1.5578620931274,0.752580294925294,1.06005898856639,304126.733333333,2,2024
OK,438.911326452651,510.362007503082,1.2891930204026,1.46886249956074,0.785933339153216,1.0795088931442,1927492.26666666,2,2024
OR,481.689670733119,560.104268294324,1.04396306914322,1.42843064023649,0.774801176417354,1.07205146580905,2033892.7,2,2024
PA,526.173075086337,611.829157077137,1.26897472772447,1.49868700921898,0.777831946517304,1.07264170837115,4565329.56666666,2,2024
RI,540.918527078063,628.97503148612,1.30689441501969,1.52737384844653,0.807410835366407,1.08994681248238,544181.566666665,2,2024
SC,639.143380149651,743.189976918198,1.1993055505317,1.46491752893819,0.746721841812853,1.05542642099729,534302.566666666,2,2024
SD,505.245830299372,587.495151510898,1.05082222477061,1.41009408798594,0.697645558148162,1.03492185964235,389497.833333333,2,2024
TN,474.11303101588,551.294222111488,1.25690167385417,1.48261689847557,0.747800557380627,1.060041886292,1742304.3,2,2024
TX,586.828018681575,682.358161257645,1.31355931879489,1.45242621747257,0.758181604259433,1.06400818377312,6891483.00000005,2,2024
UT,386.245022214908,449.122118854544,1.02616890354317,1.43207901304612,0.739785562191895,1.05301931533714,1532951.06666666,2,2024
VA,542.410015775761,630.70932066949,1.21678573652876,1.46097287449977,0.786688510714644,1.07823267631162,3355676.36666667,2,2024
VT,715.958350179432,832.509709510968,1.31757940771135,0.97785817903485,0.75477845312141,1.06376783038106,408231.133333333,2,2024
WA,509.811319036508,592.803859344776,1.12340204549523,1.47910057615076,0.769504483829844,1.06891381221596,2670574.13333333,2,2024
WI,576.430219373513,670.267696945945,1.19794811242026,1.44879474630836,0.777563948988149,1.0736663735321,1170528.03333333,2,2024
WV,728.023741962367,846.539234839962,1.46636589807203,1.50762260650902,0.760322048128738,1.06360338874109,176116.533333333,2,2024
WY,696.302214040748,809.653737256684,1.05205298266961,1.40116102243878,0.759660211049168,1.06229843813211,94837.2999999999,2,2024
AL,243.868073420529,283.567527233174,1.11957846617566,1.09163105745347,0.57,1,12319.5333333333,3,2024
AZ,177.779664318948,206.720539905754,0.188211071635623,1.01745729957931,0.57,1,2242.36666666666,3,2024
CA,200.673868492988,233.341707549986,0.288781094300184,0.977208448880307,0.57,1,259875.066666666,3,2024
CO,187.176740203645,217.64737232982,0.482886559532982,0.99219574751973,0.57,1,30628.3999999999,3,2024
CT,212.291306760743,246.850356698539,0.313338566807664,1.01794899228664,0.57,1,18755.3333333333,3,2024
DC,169.484059470701,197.07448775663,0.365205165417218,0.738491528087187,0.57,1,3606.03333333333,3,2024
DE,235.467183760574,273.799050884388,0.215094462958216,1.0141863838332,0.57,1,1560.39999999999,3,2024
FL,214.639196255242,249.580460761909,0.569906965566537,1.15019088229805,0.57,1,18933.1333333333,3,2024
GA,227.841305694956,264.931750808088,0.713470216150051,1.00895757184845,0.57,1,22738.8333333333,3,2024
HI,139.31484326037,161.994003791128,0.206662603425852,0.975680507513075,0.57,1,4818.26666666666,3,2024
IA,183.629039489642,213.522138941444,0.141525057002862,0.998740309513412,0.57,1,687.099999999999,3,2024
ID,166.801958541951,193.955765746454,0.449821455566962,0.959601225194328,0.57,1,2954.63333333333,3,2024
IL,304.385260076363,353.936348926003,0.85952828613358,1.00477813921973,0.57,1,10380.2333333333,3,2024
KS,250.86008270626,291.697770588675,1.68428637145635,1.11621961253646,0.57,1,891.266666666665,3,2024
KY,190.778329391179,221.83526673393,0.400013167473403,0.98837752717148,0.57,1,7829.89999999999,3,2024
MA,298.387961069722,346.96274542991,0.297196433957083,1.19632525174318,0.57,1,7405.03333333332,3,2024
MD,117.518805551634,136.649773897249,0.349322964961925,0.975805118110236,0.57,1,41181.8666666665,3,2024
ME,201.060144015065,233.790865133796,0.370693092785902,1.01866838397693,0.57,1,7168.83333333331,3,2024
MI,196.120342119686,228.046909441495,0.494898179614588,1.00447715755607,0.57,1,37184.4333333333,3,2024
MN,138.581149546511,161.140871565711,0.737972303160805,1.01219268744103,0.57,1,46285.6666666666,3,2024
MO,198.083302108819,230.329421056766,0.535411938715379,0.986009750540169,0.57,1,8484.99999999999,3,2024
MT,203.601521854632,236.745955644921,0.377508676875532,0.990983210840147,0.57,1,3365.26666666666,3,2024
NC,221.798075243989,257.904738655802,0.49087956759979,0.997096189960118,0.57,1,50995.9666666666,3,2024
ND,135.618009455121,157.695359831537,0.35294325997169,0.995571133057363,0.57,1,14341.4333333333,3,2024
NE,290.818286859195,338.160798673483,0.229430841508913,1.02906618764681,0.57,1,241.233333333333,3,2024
NH,151.091527490944,175.687822663889,0.428945747236455,1.01755789369967,0.57,1,7104.39999999999,3,2024
NJ,254.664356496209,296.121344763034,0.377236392278814,1.00371074194175,0.57,1,16292.8333333333,3,2024
NV,202.1074578938,235.008671969535,0.356063634422379,0.98404196028187,0.57,1,3746.4,3,2024
NY,241.22683425948,280.496318906373,0.227333990714458,0.997156394782379,0.57,1,41088.9666666665,3,2024
OH,189.235236615273,220.040972808457,0.577311918510629,1.01750508225938,0.57,1,24631.4333333333,3,2024
OK,213.785103462436,248.587329607483,0.355890788538005,1.02464921927426,0.57,1,3328.09999999999,3,2024
PA,198.43470033618,230.738023646721,0.341369435958696,1.02748886206631,0.57,1,16072.7,3,2024
SC,186.883087040576,217.30591516346,0.48023406953757,1.07425774774299,0.57,1,28411.4999999999,3,2024
SD,222.318890249099,258.510337498952,0.317039148442082,0.965243299697155,0.57,1,5569.39999999999,3,2024
TN,253.519015662351,294.789553095757,0.571760551522345,1.16206608330803,0.57,1,2415.13333333333,3,2024
TX,254.735503118716,296.204073393856,0.964483079641421,1.04966606555352,0.57,1,21053.5333333333,3,2024
VA,150.622003183475,175.141864166832,0.50788215289459,0.999587307889207,0.57,1,25523.4666666666,3,2024
VT,266.52710882162,309.915242815837,0.503688829881395,0.99741629786983,0.57,1,2824.49999999999,3,2024
WA,216.334444276739,251.551679391557,0.202562554517745,1.0067317089904,0.57,1,3401.03333333333,3,2024
WI,187.541718813296,218.071766061972,0.305831039929774,1.02390924596888,0.57,1,15341.1,3,2024
WV,360.603437278474,419.30632241683,3.48102487304383,1.03026816250388,0.57,1,643.266666666666,3,2024
MA,528.493113074213,614.52687566769,1.21448773800938,1.53156177208535,0.7205092024862,1.04226972785869,8506903.99999999,4,2024
ME,570.001341302319,662.792257328278,1.18764850624696,1.66142258197934,0.682955207336389,1.02865316188354,1353406.9,4,2024
